SNP	LG	CM
2_04586	1	0.00
2_19789	1	0.00
2_26423	1	0.00
2_34180	1	0.00
1_0072	1	0.00
2_24584	1	0.00
2_52356	1	0.00
2_04587	1	0.00
2_30578	1	0.00
2_08660	1	0.00
2_10757	1	0.00
2_11663	1	0.00
2_26593	1	0.00
2_50998	1	0.23
2_19948	1	0.67
2_19947	1	0.67
2_22359	1	0.67
2_27844	1	0.67
2_17054	1	0.67
1_0449	1	0.67
2_08464	1	0.67
2_27319	1	1.13
2_27318	1	1.42
2_06642	1	1.42
1_1275	1	1.42
2_07033	1	1.42
2_07034	1	1.42
2_17899	1	1.42
2_36252	1	1.42
2_46616	1	1.42
2_01623	1	2.15
2_21128	1	2.15
2_17163	1	2.66
2_12641	1	3.40
2_12640	1	3.40
2_18244	1	3.40
2_05337	1	4.15
2_05332	1	4.15
2_01008	1	4.15
2_15573	1	4.15
2_01009	1	4.15
2_19215	1	4.15
2_29252	1	4.15
2_54686	1	4.15
2_26483	1	4.15
2_13394	1	4.15
2_26808	1	4.15
2_32059	1	4.15
2_05130	1	4.76
2_13199	1	4.76
2_25673	1	4.76
2_28097	1	4.76
2_33110	1	4.76
2_41783	1	4.76
2_13087	1	4.76
2_33109	1	4.76
2_04732	1	5.21
2_37944	1	5.70
2_09311	1	5.70
2_23875	1	5.70
2_01286	1	6.18
2_07332	1	6.80
2_21226	1	6.80
2_51242	1	7.30
2_20722	1	7.60
2_31484	1	7.60
2_07334	1	7.60
2_09890	1	7.60
2_20721	1	7.60
2_31485	1	7.60
2_20642	1	7.60
2_21890	1	8.17
2_07573	1	8.17
2_17353	1	8.17
2_17912	1	8.17
2_17914	1	8.17
2_22018	1	8.17
2_47655	1	8.17
2_32416	1	8.17
2_11774	1	8.17
2_06488	1	8.17
2_07574	1	8.17
2_17913	1	8.17
2_19234	1	8.17
2_21891	1	8.17
2_30465	1	8.17
2_30466	1	8.17
2_02462	1	8.32
2_03644	1	8.32
2_03645	1	8.32
2_23836	1	8.32
2_47260	1	8.32
2_01044	1	8.32
2_07393	1	8.32
2_14406	1	8.32
2_12440	1	8.70
2_05813	1	8.88
2_07617	1	8.88
2_18349	1	8.88
2_20758	1	8.88
2_00818	1	8.88
2_15609	1	8.88
2_00817	1	8.88
2_25013	1	9.27
2_05065	1	9.27
2_23455	1	9.27
2_02797	1	9.27
2_23036	1	9.27
2_23454	1	9.27
2_33379	1	9.27
2_44374	1	9.27
2_40525	1	9.27
2_00702	1	9.27
2_34939	1	9.27
2_16138	1	9.69
2_16139	1	9.69
2_18629	1	9.69
2_28287	1	9.69
2_14324	1	9.69
2_14325	1	9.69
2_54142	1	9.69
2_33251	1	9.69
2_09216	1	10.33
2_49441	1	10.33
2_06184	1	10.33
2_28080	1	10.33
2_24091	1	10.33
2_24092	1	10.33
2_00475	1	11.11
2_08504	1	11.11
2_24640	1	11.11
2_00474	1	11.11
2_13450	1	11.11
