SNP	LG	CM
2_15811	1	0
2_45924	1	0
2_01622	1	1.649
2_06865	1	1.649
2_06866	1	1.649
2_07034	1	1.649
2_07085	1	1.649
2_07086	1	1.649
2_17899	1	1.649
2_17900	1	1.649
2_21129	1	1.649
2_22247	1	1.649
2_27190	1	1.649
2_27319	1	1.649
2_27320	1	1.649
2_28321	1	1.649
2_29068	1	1.649
1_1275	1	1.649
2_01623	1	1.649
2_06641	1	1.649
2_06642	1	1.649
2_22248	1	1.649
2_27318	1	1.649
2_01007	1	2.186
2_06556	1	2.186
2_12640	1	2.186
2_17163	1	2.186
2_17164	1	2.186
2_18244	1	2.186
2_18245	1	2.186
2_31166	1	2.186
2_49015	1	2.186
2_52136	1	2.186
2_01008	1	2.186
2_01009	1	2.186
2_01010	1	2.186
2_03191	1	2.186
2_03192	1	2.186
2_06555	1	2.186
2_12641	1	2.186
2_18388	1	2.186
2_19215	1	2.186
2_24446	1	2.186
2_52465	1	2.186
2_05333	1	2.724
2_05335	1	2.724
2_05336	1	2.724
2_10611	1	2.724
2_13394	1	2.724
2_18307	1	2.724
2_20422	1	2.724
2_20700	1	2.724
2_26719	1	2.724
2_26808	1	2.724
2_32059	1	2.724
2_32272	1	2.724
2_39793	1	2.724
2_42005	1	2.724
2_46675	1	2.724
2_50699	1	2.724
2_05332	1	2.724
2_05334	1	2.724
2_05337	1	2.724
2_05603	1	2.724
2_05715	1	2.724
2_05907	1	2.724
2_10612	1	2.724
2_13393	1	2.724
2_15573	1	2.724
2_41135	1	2.724
2_54686	1	2.724
2_10247	1	3.262
2_13087	1	3.262
2_28098	1	3.262
2_29334	1	3.262
2_43549	1	3.262
2_44888	1	3.262
2_46008	1	3.262
2_46257	1	3.262
2_52990	1	3.262
1_0085	1	3.262
2_03457	1	3.262
2_11407	1	3.262
2_11408	1	3.262
2_13199	1	3.262
2_28097	1	3.262
2_29252	1	3.262
2_41783	1	3.262
2_47389	1	3.262
2_05131	1	3.799
2_05134	1	3.799
2_09311	1	3.799
2_10677	1	3.799
2_20847	1	3.799
2_33109	1	3.799
2_05130	1	3.799
2_05132	1	3.799
2_25673	1	3.799
2_33110	1	3.799
1_1376	1	4.337
2_01720	1	4.337
2_13194	1	4.337
2_53813	1	4.337
1_0749	1	4.337
2_01721	1	4.337
2_04732	1	4.337
2_39353	1	4.337
2_01286	1	4.874
2_08702	1	4.874
2_09088	1	4.874
2_11711	1	4.874
2_18177	1	4.874
2_23131	1	4.874
2_23875	1	4.874
2_53346	1	4.874
2_09089	1	4.874
2_12453	1	4.874
2_23132	1	4.874
2_37943	1	4.874
2_37944	1	4.874
2_51242	1	4.874
2_07333	1	5.412
2_20642	1	5.412
2_21225	1	5.412
2_28295	1	5.412
2_07331	1	5.412
2_07332	1	5.412
2_07334	1	5.412
2_09599	1	5.412
2_09600	1	5.412
2_09890	1	5.412
2_21226	1	5.412
2_51898	1	5.95
2_04123	1	6.487
2_04124	1	6.487
2_07574	1	6.487
2_12897	1	6.487
2_17913	1	6.487
2_20721	1	6.487
2_21891	1	6.487
2_22620	1	6.487
2_27526	1	6.487
2_30465	1	6.487
2_30466	1	6.487
2_31485	1	6.487
2_31606	1	6.487
2_32416	1	6.487
2_39065	1	6.487
1_0540	1	6.487
2_07573	1	6.487
2_12898	1	6.487
2_17353	1	6.487
2_17912	1	6.487
2_17914	1	6.487
2_20722	1	6.487
2_21327	1	6.487
2_22018	1	6.487
2_22619	1	6.487
2_27528	1	6.487
2_31484	1	6.487
2_34674	1	6.487
2_34675	1	6.487
2_01044	1	7.025
2_06488	1	7.025
2_11774	1	7.025
2_11775	1	7.025
2_14406	1	7.025
2_16867	1	7.025
2_18038	1	7.025
2_19234	1	7.025
2_21505	1	7.025
2_21506	1	7.025
2_30870	1	7.025
1_0775	1	7.025
1_1357	1	7.025
2_02462	1	7.025
2_02463	1	7.025
2_03644	1	7.025
2_03645	1	7.025
2_16868	1	7.025
2_18037	1	7.025
2_47655	1	7.025
2_06577	1	7.563
2_07393	1	7.563
2_12911	1	7.563
2_12912	1	7.563
2_15358	1	7.563
2_15462	1	7.563
2_23835	1	7.563
2_40106	1	7.563
2_51290	1	7.563
2_55222	1	7.563
2_06576	1	7.563
2_19254	1	7.563
2_23836	1	7.563
2_42413	1	7.563
2_47260	1	7.563
2_00817	1	8.1
2_03212	1	8.1
2_03213	1	8.1
2_03214	1	8.1
2_05814	1	8.1
2_05815	1	8.1
2_05882	1	8.1
2_07616	1	8.1
2_12441	1	8.1
2_23769	1	8.1
2_23770	1	8.1
2_31303	1	8.1
2_55388	1	8.1
2_03209	1	8.1
2_03210	1	8.1
2_03211	1	8.1
2_05813	1	8.1
2_05881	1	8.1
2_07617	1	8.1
2_12440	1	8.1
2_15608	1	8.1
2_18349	1	8.1
2_24779	1	8.1
2_19634	1	8.638
2_29074	1	8.638
2_33379	1	8.638
2_05065	1	8.638
2_05066	1	8.638
2_23036	1	8.638
2_54570	1	8.638
2_00702	1	9.176
2_01314	1	9.176
2_01934	1	9.176
2_02796	1	9.176
2_11985	1	9.176
2_18553	1	9.176
2_23004	1	9.176
2_23005	1	9.176
2_25013	1	9.176
2_30221	1	9.176
2_33251	1	9.176
2_33704	1	9.176
2_40525	1	9.176
2_54142	1	9.176
2_00703	1	9.176
2_01933	1	9.176
2_02797	1	9.176
2_11986	1	9.176
2_14324	1	9.176
2_14325	1	9.176
2_20566	1	9.176
2_26253	1	9.176
2_28287	1	9.176
2_30696	1	9.176
2_33267	1	9.176
2_34137	1	9.176
2_52013	1	9.176
2_01738	1	10.825
2_13451	1	10.825
2_18738	1	10.825
2_32028	1	10.825
2_00475	1	10.825
2_13450	1	10.825
2_32464	1	10.825
2_40217	1	10.825
2_55121	1	10.825
1_0734	1	11.368
2_05855	1	11.368
2_06878	1	11.368
2_19811	1	11.368
2_21895	1	11.368
2_06877	1	11.368
2_19812	1	11.368
